threshold,n_articles,n_aligned,align_rate,p_value,significant
0.5,406,220,0.541871921182266,0.05067659867873952,False
0.55,401,216,0.5386533665835411,0.0669996438078865,False
0.6,399,216,0.5413533834586466,0.05451943494207539,False
0.65,397,215,0.5415617128463476,0.05407472720872219,False
0.7,394,214,0.5431472081218274,0.04814252342268846,True
0.75,392,212,0.5408163265306123,0.05864859387693363,False
0.8,390,210,0.5384615384615384,0.0709388118106475,False
0.85,388,209,0.538659793814433,0.07042664130009649,False
0.9,380,205,0.5394736842105263,0.06836697758123735,False
0.95,371,200,0.5390835579514824,0.07296611476805018,False
