industry,slug,n_docs_en,weak_label_source,has_volatility_etf,time_macro_spearman,vol_macro_spearman
Basic Materials,basic-materials,3,VADER,False,,
Communication Services,communication-services,142,VADER,False,0.3591549295774648,
Consumer Cyclical,consumer-cyclical,129,VADER,False,0.3046875,
Consumer Defensive,consumer-defensive,8,VADER,False,,
Energy,energy,83,VADER,False,0.6219512195121951,
Financial Services,financial-services,95,VADER,False,0.3723404255319149,
Healthcare,healthcare,106,VADER,False,0.32075471698113206,
Industrials,industrials,92,VADER,False,0.44565217391304346,
Real Estate,real-estate,76,VADER,False,0.8157894736842105,
Services,services,61,VADER,False,0.65,
Technology,technology,1294,VADER,False,0.4080370942812983,
Unknown,unknown,2,VADER,False,,
Utilities,utilities,77,VADER,False,0.7894736842105263,
